Date,Visitor,AG,Home,HG
2019-02-09,Pittsburgh Penguins,4,Tampa Bay Lightning,5
2019-02-09,Calgary Flames,3,Vancouver Canucks,4
2019-02-09,Columbus Blue Jackets,4,Vegas Golden Knights,3
2019-02-09,Florida Panthers,5,Washington Capitals,4
2019-02-10,Colorado Avalanche,1,Boston Bruins,2
2019-02-10,Winnipeg Jets,3,Buffalo Sabres,1
2019-02-10,Detroit Red Wings,2,Chicago Blackhawks,5
2019-02-10,Tampa Bay Lightning,5,Florida Panthers,2
2019-02-10,Carolina Hurricanes,2,New Jersey Devils,3
2019-02-10,St. Louis Blues,5,Nashville Predators,4
2019-02-10,Minnesota Wild,1,New York Islanders,2
2019-02-10,Toronto Maple Leafs,1,New York Rangers,4
2019-02-11,Pittsburgh Penguins,4,Philadelphia Flyers,1
2019-02-11,San Jose Sharks,7,Vancouver Canucks,2
2019-02-11,Los Angeles Kings,4,Washington Capitals,6
2019-02-12,Chicago Blackhawks,3,Boston Bruins,6
2019-02-12,New York Islanders,1,Buffalo Sabres,3
2019-02-12,Washington Capitals,0,Columbus Blue Jackets,3
2019-02-12,Toronto Maple Leafs,5,Colorado Avalanche,2
2019-02-12,Dallas Stars,3,Florida Panthers,0
2019-02-12,Philadelphia Flyers,5,Minnesota Wild,4
2019-02-12,Detroit Red Wings,3,Nashville Predators,2
2019-02-12,Carolina Hurricanes,4,Ottawa Senators,1
2019-02-12,New Jersey Devils,3,St. Louis Blues,8
2019-02-12,Calgary Flames,3,Tampa Bay Lightning,6
2019-02-12,Arizona Coyotes,5,Vegas Golden Knights,2
2019-02-12,New York Rangers,3,Winnipeg Jets,4
2019-02-13,Vancouver Canucks,0,Anaheim Ducks,1
2019-02-13,Edmonton Oilers,1,Pittsburgh Penguins,3
2019-02-14,St. Louis Blues,4,Arizona Coyotes,0
2019-02-14,New York Islanders,3,Columbus Blue Jackets,0
2019-02-14,New Jersey Devils,2,Chicago Blackhawks,5
2019-02-14,Ottawa Senators,2,Detroit Red Wings,3
2019-02-14,Calgary Flames,2,Florida Panthers,3
2019-02-14,Vancouver Canucks,4,Los Angeles Kings,3
2019-02-14,Montreal Canadiens,1,Nashville Predators,3
2019-02-14,Washington Capitals,5,San Jose Sharks,1
2019-02-14,Dallas Stars,0,Tampa Bay Lightning,6
2019-02-14,Toronto Maple Leafs,6,Vegas Golden Knights,3
2019-02-14,Colorado Avalanche,4,Winnipeg Jets,1
2019-02-15,Boston Bruins,3,Anaheim Ducks,0
2019-02-15,New York Rangers,6,Buffalo Sabres,2
2019-02-15,Edmonton Oilers,1,Carolina Hurricanes,3
2019-02-15,New Jersey Devils,5,Minnesota Wild,4
2019-02-16,Toronto Maple Leafs,0,Arizona Coyotes,2
2019-02-16,Dallas Stars,0,Carolina Hurricanes,3
2019-02-16,Columbus Blue Jackets,5,Chicago Blackhawks,2
2019-02-16,St. Louis Blues,3,Colorado Avalanche,0
2019-02-16,Boston Bruins,4,Los Angeles Kings,2
2019-02-16,Edmonton Oilers,2,New York Islanders,5
2019-02-16,Detroit Red Wings,5,Philadelphia Flyers,6
2019-02-16,Calgary Flames,5,Pittsburgh Penguins,4
2019-02-16,Vancouver Canucks,2,San Jose Sharks,3
2019-02-16,Montreal Canadiens,0,Tampa Bay Lightning,3
2019-02-16,Nashville Predators,1,Vegas Golden Knights,5
2019-02-16,Ottawa Senators,4,Winnipeg Jets,3
2019-02-17,Washington Capitals,2,Anaheim Ducks,5
2019-02-17,Philadelphia Flyers,3,Detroit Red Wings,1
2019-02-17,Montreal Canadiens,3,Florida Panthers,6
2019-02-17,St. Louis Blues,4,Minnesota Wild,0
2019-02-17,Buffalo Sabres,1,New Jersey Devils,4
2019-02-17,New York Rangers,5,Pittsburgh Penguins,6
2019-02-18,Tampa Bay Lightning,5,Columbus Blue Jackets,1
2019-02-18,Arizona Coyotes,2,Calgary Flames,5
2019-02-18,Ottawa Senators,7,Chicago Blackhawks,8
2019-02-18,Vegas Golden Knights,0,Colorado Avalanche,3
2019-02-18,Washington Capitals,3,Los Angeles Kings,2
2019-02-18,Boston Bruins,6,San Jose Sharks,5
2019-02-19,New York Rangers,2,Carolina Hurricanes,1
2019-02-19,Nashville Predators,5,Dallas Stars,3
2019-02-19,Arizona Coyotes,3,Edmonton Oilers,2
2019-02-19,Buffalo Sabres,2,Florida Panthers,4
2019-02-19,Anaheim Ducks,4,Minnesota Wild,0
2019-02-19,Columbus Blue Jackets,2,Montreal Canadiens,3
2019-02-19,Pittsburgh Penguins,4,New Jersey Devils,3
2019-02-19,Tampa Bay Lightning,5,Philadelphia Flyers,2
2019-02-19,Toronto Maple Leafs,2,St. Louis Blues,3
2019-02-20,New York Islanders,2,Calgary Flames,4
2019-02-20,Winnipeg Jets,1,Colorado Avalanche,7
2019-02-20,Chicago Blackhawks,5,Detroit Red Wings,4
2019-02-20,Boston Bruins,3,Vegas Golden Knights,2
2019-02-21,St. Louis Blues,2,Dallas Stars,5
2019-02-21,New York Islanders,3,Edmonton Oilers,4
2019-02-21,Carolina Hurricanes,4,Florida Panthers,3
2019-02-21,Philadelphia Flyers,1,Montreal Canadiens,5
2019-02-21,Ottawa Senators,0,New Jersey Devils,4
2019-02-21,Los Angeles Kings,1,Nashville Predators,2
2019-02-21,Minnesota Wild,4,New York Rangers,1
2019-02-21,San Jose Sharks,4,Pittsburgh Penguins,0
2019-02-21,Buffalo Sabres,1,Tampa Bay Lightning,2
2019-02-21,Washington Capitals,3,Toronto Maple Leafs,2
2019-02-21,Arizona Coyotes,3,Vancouver Canucks,2
2019-02-22,Anaheim Ducks,1,Calgary Flames,2
2019-02-22,Colorado Avalanche,5,Chicago Blackhawks,3
2019-02-22,Minnesota Wild,3,Detroit Red Wings,2
2019-02-22,Columbus Blue Jackets,3,Ottawa Senators,0
2019-02-22,Winnipeg Jets,6,Vegas Golden Knights,3
2019-02-23,Washington Capitals,2,Buffalo Sabres,5
2019-02-23,San Jose Sharks,0,Columbus Blue Jackets,4
2019-02-23,Carolina Hurricanes,3,Dallas Stars,0
2019-02-23,Anaheim Ducks,1,Edmonton Oilers,2
2019-02-23,Los Angeles Kings,1,Florida Panthers,6
2019-02-23,Colorado Avalanche,5,Nashville Predators,0
2019-02-23,New Jersey Devils,2,New York Rangers,5
2019-02-23,Pittsburgh Penguins,3,Philadelphia Flyers,4
2019-02-23,Boston Bruins,1,St. Louis Blues,2
2019-02-23,Montreal Canadiens,3,Toronto Maple Leafs,6
2019-02-23,New York Islanders,4,Vancouver Canucks,0
2019-02-24,Winnipeg Jets,1,Arizona Coyotes,4
2019-02-24,Dallas Stars,4,Chicago Blackhawks,3
2019-02-24,San Jose Sharks,5,Detroit Red Wings,3
2019-02-24,St. Louis Blues,1,Minnesota Wild,2
2019-02-24,Calgary Flames,2,Ottawa Senators,1
2019-02-24,New York Rangers,5,Washington Capitals,6
2019-02-25,Florida Panthers,4,Colorado Avalanche,3
2019-02-25,Montreal Canadiens,1,New Jersey Devils,2
2019-02-25,Edmonton Oilers,2,Nashville Predators,3
2019-02-25,Los Angeles Kings,3,Tampa Bay Lightning,4
2019-02-25,Buffalo Sabres,3,Toronto Maple Leafs,5
2019-02-25,Anaheim Ducks,0,Vancouver Canucks,4
2019-02-26,Florida Panthers,3,Arizona Coyotes,4
2019-02-26,San Jose Sharks,1,Boston Bruins,4
2019-02-26,Los Angeles Kings,1,Carolina Hurricanes,6
2019-02-26,Pittsburgh Penguins,5,Columbus Blue Jackets,2
2019-02-26,Montreal Canadiens,8,Detroit Red Wings,1
2019-02-26,Calgary Flames,3,New York Islanders,1
2019-02-26,Buffalo Sabres,2,Philadelphia Flyers,5
2019-02-26,Nashville Predators,0,St. Louis Blues,2
2019-02-26,Dallas Stars,1,Vegas Golden Knights,4
2019-02-26,Minnesota Wild,3,Winnipeg Jets,2
2019-02-26,Ottawa Senators,2,Washington Capitals,7
2019-02-27,Chicago Blackhawks,4,Anaheim Ducks,3
2019-02-27,Vancouver Canucks,2,Colorado Avalanche,3
2019-02-27,Calgary Flames,2,New Jersey Devils,1
2019-02-27,Tampa Bay Lightning,4,New York Rangers,3
2019-02-27,Edmonton Oilers,2,Toronto Maple Leafs,6
2019-02-28,Vancouver Canucks,2,Arizona Coyotes,5
2019-02-28,Tampa Bay Lightning,1,Boston Bruins,4
2019-02-28,Philadelphia Flyers,3,Columbus Blue Jackets,4
2019-02-28,Dallas Stars,4,Los Angeles Kings,3
2019-02-28,Toronto Maple Leafs,1,New York Islanders,6
2019-02-28,Edmonton Oilers,4,Ottawa Senators,2
2019-02-28,Florida Panthers,5,Vegas Golden Knights,6
2019-03-01,Vegas Golden Knights,3,Anaheim Ducks,0
2019-03-01,Pittsburgh Penguins,3,Buffalo Sabres,4
2019-03-01,St. Louis Blues,2,Carolina Hurricanes,5
2019-03-01,Philadelphia Flyers,6,New Jersey Devils,3
2019-03-01,Washington Capitals,3,New York Islanders,1
2019-03-01,Montreal Canadiens,4,New York Rangers,2
2019-03-01,Colorado Avalanche,3,San Jose Sharks,4
2019-03-01,Nashville Predators,3,Winnipeg Jets,5
2019-03-02,Detroit Red Wings,1,Arizona Coyotes,3
2019-03-02,New Jersey Devils,0,Boston Bruins,1
2019-03-02,Edmonton Oilers,4,Columbus Blue Jackets,0
2019-03-02,Minnesota Wild,4,Calgary Flames,2
2019-03-02,Carolina Hurricanes,4,Florida Panthers,3
2019-03-02,Chicago Blackhawks,3,Los Angeles Kings,6
2019-03-02,Pittsburgh Penguins,5,Montreal Canadiens,1
2019-03-02,Dallas Stars,4,St. Louis Blues,1
2019-03-02,Ottawa Senators,1,Tampa Bay Lightning,5
2019-03-02,Buffalo Sabres,2,Toronto Maple Leafs,5
2019-03-03,Colorado Avalanche,1,Anaheim Ducks,2
2019-03-03,Winnipeg Jets,5,Columbus Blue Jackets,2
2019-03-03,Ottawa Senators,3,Florida Panthers,2
2019-03-03,Nashville Predators,3,Minnesota Wild,2
2019-03-03,Philadelphia Flyers,4,New York Islanders,1
2019-03-03,Washington Capitals,3,New York Rangers,2
2019-03-03,Chicago Blackhawks,2,San Jose Sharks,5
2019-03-03,Vancouver Canucks,0,Vegas Golden Knights,3
2019-03-04,Edmonton Oilers,4,Buffalo Sabres,3
2019-03-04,Toronto Maple Leafs,6,Calgary Flames,2
2019-03-05,Anaheim Ducks,3,Arizona Coyotes,1
2019-03-05,Carolina Hurricanes,3,Boston Bruins,4
2019-03-05,Detroit Red Wings,3,Colorado Avalanche,4
2019-03-05,New York Rangers,0,Dallas Stars,1
2019-03-05,Montreal Canadiens,3,Los Angeles Kings,1
2019-03-05,Columbus Blue Jackets,2,New Jersey Devils,1
2019-03-05,Minnesota Wild,4,Nashville Predators,5
2019-03-05,Ottawa Senators,4,New York Islanders,5
2019-03-05,Florida Panthers,2,Pittsburgh Penguins,3
2019-03-05,Winnipeg Jets,2,Tampa Bay Lightning,5
2019-03-06,St. Louis Blues,5,Anaheim Ducks,4
2019-03-06,Washington Capitals,5,Philadelphia Flyers,3
2019-03-06,Toronto Maple Leafs,2,Vancouver Canucks,3
2019-03-06,Calgary Flames,1,Vegas Golden Knights,2
2019-03-07,Calgary Flames,0,Arizona Coyotes,2
2019-03-07,Florida Panthers,3,Boston Bruins,4
2019-03-07,Buffalo Sabres,4,Chicago Blackhawks,5
2019-03-07,Colorado Avalanche,0,Dallas Stars,4
2019-03-07,New York Rangers,2,Detroit Red Wings,3
2019-03-07,Vancouver Canucks,2,Edmonton Oilers,3
2019-03-07,St. Louis Blues,4,Los Angeles Kings,0
2019-03-07,New York Islanders,4,Ottawa Senators,2
2019-03-07,Columbus Blue Jackets,0,Pittsburgh Penguins,3
2019-03-07,Montreal Canadiens,2,San Jose Sharks,5
2019-03-07,Minnesota Wild,3,Tampa Bay Lightning,0
2019-03-08,Montreal Canadiens,2,Anaheim Ducks,8
2019-03-08,Winnipeg Jets,8,Carolina Hurricanes,1
2019-03-08,Minnesota Wild,2,Florida Panthers,6
2019-03-08,New Jersey Devils,0,Washington Capitals,3
2019-03-09,Los Angeles Kings,2,Arizona Coyotes,4
2019-03-09,Ottawa Senators,2,Boston Bruins,3
2019-03-09,Pittsburgh Penguins,1,Columbus Blue Jackets,4
2019-03-09,Buffalo Sabres,0,Colorado Avalanche,3
2019-03-09,Chicago Blackhawks,2,Dallas Stars,1
2019-03-09,Toronto Maple Leafs,3,Edmonton Oilers,2
2019-03-09,Carolina Hurricanes,5,Nashville Predators,3
2019-03-09,Philadelphia Flyers,5,New York Islanders,2
2019-03-09,New Jersey Devils,2,New York Rangers,4
2019-03-09,St. Louis Blues,2,San Jose Sharks,3
2019-03-09,Detroit Red Wings,2,Tampa Bay Lightning,3
2019-03-09,Vegas Golden Knights,6,Vancouver Canucks,2
2019-03-10,Los Angeles Kings,3,Anaheim Ducks,2
2019-03-10,Vegas Golden Knights,3,Calgary Flames,6
2019-03-10,Detroit Red Wings,1,Florida Panthers,6
2019-03-10,Boston Bruins,2,Pittsburgh Penguins,4
2019-03-10,Winnipeg Jets,1,Washington Capitals,3
2019-03-11,Arizona Coyotes,1,Chicago Blackhawks,7
2019-03-11,Carolina Hurricanes,3,Colorado Avalanche,0
2019-03-11,New York Rangers,2,Edmonton Oilers,3
2019-03-11,San Jose Sharks,3,Minnesota Wild,0
2019-03-11,Columbus Blue Jackets,0,New York Islanders,2
2019-03-11,Ottawa Senators,2,Philadelphia Flyers,3
2019-03-11,Tampa Bay Lightning,6,Toronto Maple Leafs,2
2019-03-12,Nashville Predators,2,Anaheim Ducks,3
2019-03-12,Dallas Stars,2,Buffalo Sabres,0
2019-03-12,Boston Bruins,4,Columbus Blue Jackets,7
2019-03-12,New Jersey Devils,4,Calgary Flames,9
2019-03-12,Detroit Red Wings,1,Montreal Canadiens,3
2019-03-12,Washington Capitals,3,Pittsburgh Penguins,5
2019-03-12,Arizona Coyotes,3,St. Louis Blues,1
2019-03-12,San Jose Sharks,5,Winnipeg Jets,4
2019-03-13,New Jersey Devils,6,Edmonton Oilers,3
2019-03-13,Chicago Blackhawks,5,Toronto Maple Leafs,4
2019-03-13,New York Rangers,1,Vancouver Canucks,4
2019-03-14,Anaheim Ducks,1,Arizona Coyotes,6
2019-03-14,Pittsburgh Penguins,5,Buffalo Sabres,0
2019-03-14,Tampa Bay Lightning,5,Detroit Red Wings,4
2019-03-14,Nashville Predators,3,Los Angeles Kings,1
2019-03-14,Dallas Stars,4,Minnesota Wild,1
2019-03-14,Montreal Canadiens,1,New York Islanders,2
2019-03-14,St. Louis Blues,0,Ottawa Senators,2
2019-03-14,Washington Capitals,5,Philadelphia Flyers,2
2019-03-14,Florida Panthers,4,San Jose Sharks,2
2019-03-14,Boston Bruins,3,Winnipeg Jets,4
2019-03-15,Carolina Hurricanes,0,Columbus Blue Jackets,3
2019-03-15,New York Rangers,1,Calgary Flames,5
2019-03-15,Anaheim Ducks,5,Colorado Avalanche,3
2019-03-15,Vegas Golden Knights,2,Dallas Stars,1
2019-03-15,Philadelphia Flyers,6,Toronto Maple Leafs,7
2019-03-15,New Jersey Devils,3,Vancouver Canucks,2
2019-03-16,Edmonton Oilers,3,Arizona Coyotes,2
2019-03-16,Columbus Blue Jackets,1,Boston Bruins,2
2019-03-16,Buffalo Sabres,2,Carolina Hurricanes,4
2019-03-16,New York Islanders,1,Detroit Red Wings,2
2019-03-16,Florida Panthers,4,Los Angeles Kings,3
2019-03-16,New York Rangers,2,Minnesota Wild,5
2019-03-16,Chicago Blackhawks,2,Montreal Canadiens,0
2019-03-16,Toronto Maple Leafs,2,Ottawa Senators,6
2019-03-16,St. Louis Blues,5,Pittsburgh Penguins,1
2019-03-16,Nashville Predators,4,San Jose Sharks,2
2019-03-16,Washington Capitals,3,Tampa Bay Lightning,6
2019-03-16,Calgary Flames,1,Winnipeg Jets,2
2019-03-17,Florida Panthers,2,Anaheim Ducks,3
2019-03-17,St. Louis Blues,3,Buffalo Sabres,4
2019-03-17,New Jersey Devils,0,Colorado Avalanche,3
2019-03-17,Vancouver Canucks,3,Dallas Stars,2
2019-03-17,New York Islanders,3,Minnesota Wild,2
2019-03-17,Philadelphia Flyers,2,Pittsburgh Penguins,1
2019-03-17,Edmonton Oilers,3,Vegas Golden Knights,6
2019-03-18,Vancouver Canucks,3,Chicago Blackhawks,2
2019-03-18,Winnipeg Jets,3,Los Angeles Kings,2
2019-03-18,Vegas Golden Knights,7,San Jose Sharks,3
2019-03-18,Arizona Coyotes,1,Tampa Bay Lightning,4
2019-03-19,Pittsburgh Penguins,2,Carolina Hurricanes,3
2019-03-19,Columbus Blue Jackets,2,Calgary Flames,4
2019-03-19,Florida Panthers,2,Dallas Stars,4
2019-03-19,Colorado Avalanche,3,Minnesota Wild,1
2019-03-19,Washington Capitals,4,New Jersey Devils,1
2019-03-19,Toronto Maple Leafs,0,Nashville Predators,3
2019-03-19,Boston Bruins,5,New York Islanders,0
2019-03-19,Detroit Red Wings,3,New York Rangers,2
2019-03-19,Montreal Canadiens,3,Philadelphia Flyers,1
2019-03-19,Edmonton Oilers,2,St. Louis Blues,7
2019-03-20,Winnipeg Jets,3,Anaheim Ducks,0
2019-03-20,Toronto Maple Leafs,4,Buffalo Sabres,2
2019-03-20,Ottawa Senators,4,Vancouver Canucks,7
2019-03-20,Tampa Bay Lightning,5,Washington Capitals,4
2019-03-21,Tampa Bay Lightning,6,Carolina Hurricanes,3
2019-03-21,Ottawa Senators,1,Calgary Flames,5
2019-03-21,Philadelphia Flyers,3,Chicago Blackhawks,1
2019-03-21,Colorado Avalanche,3,Dallas Stars,1
2019-03-21,Columbus Blue Jackets,1,Edmonton Oilers,4
2019-03-21,Arizona Coyotes,2,Florida Panthers,4
2019-03-21,San Jose Sharks,2,Los Angeles Kings,4
2019-03-21,New York Islanders,0,Montreal Canadiens,4
2019-03-21,Boston Bruins,5,New Jersey Devils,1
2019-03-21,Pittsburgh Penguins,2,Nashville Predators,1
2019-03-21,Detroit Red Wings,2,St. Louis Blues,5
2019-03-21,Winnipeg Jets,0,Vegas Golden Knights,5
2019-03-22,San Jose Sharks,3,Anaheim Ducks,4
2019-03-22,Minnesota Wild,2,Washington Capitals,1
2019-03-23,Minnesota Wild,1,Carolina Hurricanes,5
2019-03-23,Chicago Blackhawks,2,Colorado Avalanche,4
2019-03-23,Pittsburgh Penguins,3,Dallas Stars,2
2019-03-23,Ottawa Senators,4,Edmonton Oilers,3
2019-03-23,Boston Bruins,7,Florida Panthers,3
2019-03-23,Anaheim Ducks,3,Los Angeles Kings,4
2019-03-23,Buffalo Sabres,4,Montreal Canadiens,7
2019-03-23,Arizona Coyotes,1,New Jersey Devils,2
2019-03-23,New York Islanders,4,Philadelphia Flyers,2
2019-03-23,Tampa Bay Lightning,3,St. Louis Blues,4
2019-03-23,New York Rangers,2,Toronto Maple Leafs,1
2019-03-23,Calgary Flames,3,Vancouver Canucks,1
2019-03-23,Detroit Red Wings,3,Vegas Golden Knights,2
2019-03-23,Nashville Predators,0,Winnipeg Jets,5
2019-03-24,Montreal Canadiens,1,Carolina Hurricanes,2
2019-03-24,Colorado Avalanche,1,Chicago Blackhawks,2
2019-03-24,Arizona Coyotes,0,New York Islanders,2
2019-03-24,Columbus Blue Jackets,5,Vancouver Canucks,0
2019-03-24,Philadelphia Flyers,1,Washington Capitals,3
2019-03-25,Los Angeles Kings,3,Calgary Flames,0
2019-03-25,Nashville Predators,1,Minnesota Wild,0
2019-03-25,Buffalo Sabres,1,New Jersey Devils,3
2019-03-25,Pittsburgh Penguins,5,New York Rangers,2
2019-03-25,Detroit Red Wings,3,San Jose Sharks,2
2019-03-25,Vegas Golden Knights,1,St. Louis Blues,3
2019-03-25,Boston Bruins,4,Tampa Bay Lightning,5
2019-03-25,Florida Panthers,5,Toronto Maple Leafs,7
2019-03-25,Dallas Stars,5,Winnipeg Jets,2
2019-03-26,Chicago Blackhawks,0,Arizona Coyotes,1
2019-03-26,New York Islanders,0,Columbus Blue Jackets,4
2019-03-26,Los Angeles Kings,4,Edmonton Oilers,8
2019-03-26,Florida Panthers,1,Montreal Canadiens,6
2019-03-26,Buffalo Sabres,0,Ottawa Senators,4
2019-03-26,Anaheim Ducks,5,Vancouver Canucks,4
2019-03-26,Carolina Hurricanes,1,Washington Capitals,4
2019-03-27,New York Rangers,3,Boston Bruins,6
2019-03-27,Dallas Stars,2,Calgary Flames,1
2019-03-27,Vegas Golden Knights,3,Colorado Avalanche,4
2019-03-27,Toronto Maple Leafs,4,Philadelphia Flyers,5
2019-03-28,Detroit Red Wings,5,Buffalo Sabres,4
2019-03-28,Washington Capitals,3,Carolina Hurricanes,2
2019-03-28,Montreal Canadiens,2,Columbus Blue Jackets,6
2019-03-28,Dallas Stars,3,Edmonton Oilers,2
2019-03-28,Florida Panthers,5,Ottawa Senators,2
2019-03-28,Chicago Blackhawks,5,San Jose Sharks,4
2019-03-28,Los Angeles Kings,2,Vancouver Canucks,3
2019-03-28,New York Islanders,5,Winnipeg Jets,4
2019-03-29,Anaheim Ducks,1,Calgary Flames,6
2019-03-29,Arizona Coyotes,2,Colorado Avalanche,3
2019-03-29,New Jersey Devils,0,Detroit Red Wings,4
2019-03-29,St. Louis Blues,2,New York Rangers,4
2019-03-29,Nashville Predators,3,Pittsburgh Penguins,1
2019-03-29,Minnesota Wild,3,Vegas Golden Knights,2
2019-03-30,Florida Panthers,4,Boston Bruins,1
2019-03-30,Philadelphia Flyers,2,Carolina Hurricanes,5
2019-03-30,Anaheim Ducks,5,Edmonton Oilers,1
2019-03-30,Chicago Blackhawks,2,Los Angeles Kings,3
2019-03-30,St. Louis Blues,3,New Jersey Devils,2
2019-03-30,Columbus Blue Jackets,5,Nashville Predators,2
2019-03-30,Buffalo Sabres,1,New York Islanders,5
2019-03-30,Toronto Maple Leafs,2,Ottawa Senators,4
2019-03-30,Vegas Golden Knights,3,San Jose Sharks,4
2019-03-30,Washington Capitals,6,Tampa Bay Lightning,3
2019-03-30,Dallas Stars,2,Vancouver Canucks,3
2019-03-30,Montreal Canadiens,3,Winnipeg Jets,1
2019-03-31,Minnesota Wild,0,Arizona Coyotes,4
2019-03-31,Columbus Blue Jackets,4,Buffalo Sabres,0
2019-03-31,Boston Bruins,3,Detroit Red Wings,6
2019-03-31,New York Rangers,3,Philadelphia Flyers,0
2019-03-31,Carolina Hurricanes,1,Pittsburgh Penguins,3
2019-03-31,Calgary Flames,5,San Jose Sharks,3
2019-04-01,Winnipeg Jets,4,Chicago Blackhawks,3
2019-04-01,Washington Capitals,3,Florida Panthers,5
2019-04-01,Calgary Flames,7,Los Angeles Kings,2
2019-04-01,New York Rangers,2,New Jersey Devils,4
2019-04-01,Toronto Maple Leafs,2,New York Islanders,1
2019-04-01,Tampa Bay Lightning,5,Ottawa Senators,2
2019-04-01,Colorado Avalanche,2,St. Louis Blues,3
2019-04-01,Edmonton Oilers,1,Vegas Golden Knights,3
2019-04-02,Los Angeles Kings,3,Arizona Coyotes,1
2019-04-02,Nashville Predators,3,Buffalo Sabres,2
2019-04-02,Boston Bruins,6,Columbus Blue Jackets,2
2019-04-02,Edmonton Oilers,2,Colorado Avalanche,6
2019-04-02,Philadelphia Flyers,2,Dallas Stars,6
2019-04-02,Pittsburgh Penguins,1,Detroit Red Wings,4
2019-04-02,Winnipeg Jets,1,Minnesota Wild,5
2019-04-02,Tampa Bay Lightning,2,Montreal Canadiens,4
2019-04-02,Carolina Hurricanes,4,Toronto Maple Leafs,1
2019-04-02,San Jose Sharks,2,Vancouver Canucks,4
2019-04-03,Calgary Flames,1,Anaheim Ducks,3
2019-04-03,St. Louis Blues,3,Chicago Blackhawks,4
2019-04-03,Ottawa Senators,4,New York Rangers,1
2019-04-04,Ottawa Senators,2,Buffalo Sabres,5
2019-04-04,New Jersey Devils,1,Carolina Hurricanes,3
2019-04-04,Winnipeg Jets,2,Colorado Avalanche,3
2019-04-04,San Jose Sharks,3,Edmonton Oilers,2
2019-04-04,New York Islanders,2,Florida Panthers,1
2019-04-04,Boston Bruins,3,Minnesota Wild,0
2019-04-04,Vancouver Canucks,2,Nashville Predators,3
2019-04-04,Detroit Red Wings,1,Pittsburgh Penguins,4
2019-04-04,Philadelphia Flyers,3,St. Louis Blues,7
2019-04-04,Tampa Bay Lightning,3,Toronto Maple Leafs,1
2019-04-04,Arizona Coyotes,4,Vegas Golden Knights,1
2019-04-04,Montreal Canadiens,1,Washington Capitals,2
2019-04-05,Los Angeles Kings,2,Anaheim Ducks,5
2019-04-05,Dallas Stars,1,Chicago Blackhawks,6
2019-04-05,Columbus Blue Jackets,3,New York Rangers,2
2019-04-06,Winnipeg Jets,4,Arizona Coyotes,2
2019-04-06,Tampa Bay Lightning,6,Boston Bruins,3
2019-04-06,Edmonton Oilers,3,Calgary Flames,1
2019-04-06,Minnesota Wild,0,Dallas Stars,3
2019-04-06,Buffalo Sabres,7,Detroit Red Wings,1
2019-04-06,New Jersey Devils,4,Florida Panthers,3
2019-04-06,Vegas Golden Knights,2,Los Angeles Kings,5
2019-04-06,Toronto Maple Leafs,5,Montreal Canadiens,6
2019-04-06,Chicago Blackhawks,2,Nashville Predators,5
2019-04-06,Columbus Blue Jackets,6,Ottawa Senators,2
2019-04-06,Carolina Hurricanes,4,Philadelphia Flyers,3
2019-04-06,New York Rangers,4,Pittsburgh Penguins,3
2019-04-06,Colorado Avalanche,2,San Jose Sharks,5
2019-04-06,Vancouver Canucks,2,St. Louis Blues,3
2019-04-06,New York Islanders,3,Washington Capitals,0
